LERNING_SCHEDULE,NUM_COMPONENTS,NUM_EPOCHS,LERNING_RATE,score
adagrad,160,10,0.095,0.7469117042748399
adagrad,160,10,0.1,0.7492977289889413
adagrad,160,10,0.105,0.7514129605711083
adagrad,160,15,0.095,0.7577212435608885
adagrad,160,15,0.1,0.7584387563744163
adagrad,160,15,0.105,0.7589612550904689
adagrad,160,20,0.095,0.7579025006006888
adagrad,160,20,0.1,0.7577194366284458
adagrad,160,20,0.105,0.7574956598891884
adagrad,200,10,0.095,0.7461595790959278
adagrad,200,10,0.1,0.7485136019401619
adagrad,200,10,0.105,0.750646315915769
adagrad,200,15,0.095,0.7571424205022576
adagrad,200,15,0.1,0.7578872135789005
adagrad,200,15,0.105,0.758403659084415
adagrad,200,20,0.095,0.7572341039862431
adagrad,200,20,0.1,0.757098180496902
adagrad,200,20,0.105,0.7569188565829932
adagrad,260,10,0.095,0.7459902205209167
adagrad,260,10,0.1,0.7483550848283562
adagrad,260,10,0.105,0.7504914436914049
adagrad,260,15,0.095,0.7571564321815054
adagrad,260,15,0.1,0.7578660368722513
adagrad,260,15,0.105,0.7583928811122886
adagrad,260,20,0.095,0.7574663897131299
adagrad,260,20,0.1,0.7573550200511557
adagrad,260,20,0.105,0.7571050251769759
adagrad,300,10,0.095,0.7456806080495034
adagrad,300,10,0.1,0.7480615204829683
adagrad,300,10,0.105,0.7502335061226963
adagrad,300,15,0.095,0.7572702068802883
adagrad,300,15,0.1,0.7580460833751049
adagrad,300,15,0.105,0.7585649611278906
adagrad,300,20,0.095,0.7575852375199998
adagrad,300,20,0.1,0.7573752637149941
adagrad,300,20,0.105,0.7571419096816936
adagrad,160,10,0.11,0.7519014123272951
adagrad,160,10,0.115,0.7535325421379007
adagrad,160,10,0.12,0.7548906458567841
adagrad,160,15,0.11,0.7582155176233654
adagrad,160,15,0.115,0.7583164176968922
adagrad,160,15,0.12,0.7582561915110769
adagrad,160,20,0.11,0.7557343042623539
adagrad,160,20,0.115,0.7553421085472911
adagrad,160,20,0.12,0.7550218829141104
adagrad,200,10,0.11,0.7516123787992414
adagrad,200,10,0.115,0.7532968090952347
adagrad,200,10,0.12,0.754713979434728
adagrad,200,15,0.11,0.7587843728654138
adagrad,200,15,0.115,0.7589529823977037
adagrad,200,15,0.12,0.7589434149571291
adagrad,200,20,0.11,0.7562365693012025
adagrad,200,20,0.115,0.7558570724494575
adagrad,200,20,0.12,0.7555516629965984
adagrad,260,10,0.11,0.7510933220098032
adagrad,260,10,0.115,0.7528193875254394
adagrad,260,10,0.12,0.7542926704782649
adagrad,260,15,0.11,0.7579895562214358
adagrad,260,15,0.115,0.7581900668577266
adagrad,260,15,0.12,0.7581145686213581
adagrad,260,20,0.11,0.7553594286989492
adagrad,260,20,0.115,0.7549498612517977
adagrad,260,20,0.12,0.75461904412749
adagrad,300,10,0.11,0.7506349905031995
adagrad,300,10,0.115,0.7523338995188572
adagrad,300,10,0.12,0.7538385006770394
adagrad,300,15,0.11,0.7579155556739174
adagrad,300,15,0.115,0.7580803159005571
adagrad,300,15,0.12,0.7580796916314905
adagrad,300,20,0.11,0.7551954953503679
adagrad,300,20,0.115,0.7547147701136668
adagrad,300,20,0.12,0.7543121674832077
